nombre,origen,clasificacion,caracteristicas fisicas,tamaño,altura,peso adulto,esperanza vida,actividad fisica,caracter,ideal para,recomendaciones,clima recomendado,tipo de pelo,nivel de adiestramiento
San Bernardo,Europa Italia Suiza,Grupo II,Rústico Musculoso Proporcionado,Gigante,Más de 80,45-100,8-10,Media,Equilibrado Muy fiel Inteligente Cariñoso,Niños Casas Vigilancia,Bozal Arnés,Frío,Largo,
Perro de montaña de los Pirineos,Europa Francia,Grupo II,Rústico Musculoso Alargado,Gigante,70-80,45-100,10-12,Media,Equilibrado Fuerte Inteligente Cariñoso,Casas Senderismo Pastor Vigilancia Terapia,Arnés,Frío,Medio Liso Duro Grueso,
El perro terranova,América Canadá,Grupo II,Rústico Musculoso Proporcionado Orejas largas,Gigante,55-70,45-100,8-10,Baja,Equilibrado Sociable Muy fiel Inteligente Cariñoso Tranquilo Dócil,Niños Pisos Casas Senderismo Vigilancia Terapia,,,Medio Grueso,
Cane corso o mastín italiano,Europa Italia,Grupo II,Rústico Musculoso Alargado,Grande,55-70,45-100,10-12,Media,Equilibrado Tímido Fuerte Muy fiel Tranquilo Dominante,Casas Senderismo Caza Vigilancia,Bozal Arnés,Temperado,Corto Liso Grueso Graso,
Broholmer,Europa Dinamarca,Grupo II,Rústico Musculoso,Grande,55-70,45-100,10-12,Alta,Sociable Tranquilo,Pisos Casas Caza Vigilancia,Arnés,Temperado,Corto Grueso,
Gran danés,Europa Alemania,Grupo II,Proporcionado Alargado Orejas largas,Gigante,Más de 80,45-100,8-10,Media,Muy fiel Activo Cariñoso Tranquilo Dócil,Niños Casas Senderismo,Bozal Arnés,Temperado,Corto Liso,
Mastín napolitano o mastino napoletano,Europa Italia,Grupo II,Rústico Musculoso,Grande,70-80,45-100,8-10,Alta,Sociable Muy fiel Dominante,Pisos Senderismo Vigilancia,Arnés,Temperado,Corto Duro Grueso,
Dogo argentino,América Argentina,Grupo II,Rústico Musculoso Alargado,Grande,55-70,25-45,10-12,Media,Equilibrado Sociable Muy fiel Inteligente Activo Cariñoso Tranquilo,Casas Senderismo,Bozal Arnés,Caluroso,Corto Liso Fino,
Dogo de Burdeos,Europa Francia,Grupo II,Musculoso Orejas cortas,Grande,55-70,45-100,8-10,Media,Equilibrado Pasivo Muy fiel Inteligente,Casas Vigilancia,Bozal Arnés,Temperado,Corto Liso Fino,
Schnauzer estándar,Europa Alemania,Grupo II,Proporcionado Orejas cortas,Mediano,45-55,10-25,12-14,Media,Sociable Inteligente Activo Cariñoso Dominante,Pisos Casas Senderismo,,Temperado,Medio Duro Grueso,
Bullmastiff,Europa Reino Unido,Grupo II,Rústico Musculoso Proporcionado,Grande,55-70,45-100,8-10,Media,Muy fiel Activo Cariñoso,Pisos Casas Senderismo Vigilancia,Arnés,Temperado,Corto Liso Duro,
Bulldog inglés,Europa Reino Unido,Grupo II,Rústico Musculoso,Mediano,35-45,10-25,8-10,Media,Sociable Muy fiel Cariñoso Tranquilo Dócil,Niños Pisos Casas,,Temperado,Corto Liso Fino,
